noise,method,image_count,hog_relative_error_mean,hog_relative_error_std,cosine_similarity_mean,cosine_similarity_std,runtime_seconds_mean,runtime_seconds_std
gaussian_20db,Sobel,7,0.3580204827729025,0.195429489850651,0.9223053350448744,0.09346289846469208,0.027600285715639723,0.0107701315404108
gaussian_20db,Method I,7,0.17597904111544257,0.05907050905482214,0.9830202635271202,0.011582823584891775,0.032625399998713486,0.011995988796100972
gaussian_20db,Method II,7,0.17581747621170604,0.05874816336777197,0.9830649589441648,0.011499892366660585,0.12217245714210938,0.048730851429102745
gaussian_20db,Method III,7,0.13313179363262656,0.02478296526983228,0.9908747361760254,0.003243115519394883,1.0602778571420848,0.6003912542824903
sp5,Sobel,7,0.49829396553195987,0.10513567465318154,0.8734844868969909,0.051809851594117155,0.026710414287143585,0.010910900709832022
sp5,Method I,7,0.3488022750828784,0.07679568225196899,0.9366409535309403,0.02701767271010477,0.03283791428527495,0.012455670230532295
sp5,Method II,7,0.3482528020283499,0.07682881879949073,0.9368302783425941,0.026971498982740153,0.12677538571317978,0.04715735848348336
sp5,Method III,7,0.19524046362771316,0.046340213992885224,0.9800202597816676,0.00802437860799903,1.194682357140534,0.7825887912165981
sp10,Sobel,7,0.6324658127179628,0.12009762967059354,0.7973248179519369,0.07542881577425756,0.026976742857576546,0.010875453328390515
sp10,Method I,7,0.4988568570643852,0.06634705400441325,0.8736843759831859,0.03231164877839476,0.032646657143361936,0.01239114695686395
sp10,Method II,7,0.4987053090846803,0.06606933484355668,0.8737757257779447,0.032198643624088155,0.12604801428616547,0.04632623894196209
sp10,Method III,7,0.30880612853285955,0.06791818316111316,0.9503424390899254,0.01867467874021027,1.237847071427885,0.8269376367314036
