image,noise,method,hog_relative_error,cosine_similarity,runtime_seconds,runtime_trials_seconds,seed,noisy_image_sha256
Images\clock.png,sp5,Sobel,0.5456635458487376,0.8523958645768442,0.03297940000629751,0.0329794,44,7982b845b7d495643d3c3844e6f8f1d648d0f5335594cafafa46d132dde66d85
Images\clock.png,sp5,Method I,0.36075599301119554,0.9349275567555645,0.040774300003249664,0.0407743,44,7982b845b7d495643d3c3844e6f8f1d648d0f5335594cafafa46d132dde66d85
Images\clock.png,sp5,Method II,0.3607120639840494,0.9349434034504913,0.1575855999981286,0.1575856,44,7982b845b7d495643d3c3844e6f8f1d648d0f5335594cafafa46d132dde66d85
Images\clock.png,sp5,Method III,0.24110266171969183,0.9709347532563708,1.8470485999932862,1.8470486,44,7982b845b7d495643d3c3844e6f8f1d648d0f5335594cafafa46d132dde66d85
Images\clock.png,sp10,Sobel,0.7216356819011809,0.741816554543466,0.03443979999428848,0.0344398,44,39dbeab6f6be8553835a85d067150867b1e0cbd66958638a5ad91e05a0f9e782
Images\clock.png,sp10,Method I,0.5167553413257192,0.866481958613603,0.04128839999611955,0.0412884,44,39dbeab6f6be8553835a85d067150867b1e0cbd66958638a5ad91e05a0f9e782
Images\clock.png,sp10,Method II,0.5169552502051223,0.8663786346506241,0.15762429999449523,0.1576243,44,39dbeab6f6be8553835a85d067150867b1e0cbd66958638a5ad91e05a0f9e782
Images\clock.png,sp10,Method III,0.3633752200593578,0.9339792247257616,1.8102540999971097,1.8102541,44,39dbeab6f6be8553835a85d067150867b1e0cbd66958638a5ad91e05a0f9e782
Images\flower.jpg,gaussian_20db,Sobel,0.23662175721599865,0.9720050720062138,0.00987149999855319,0.0098715,45,e34e84e60ae2a87e86cbeed8ce4db4aea6d223b74acb56e5a508a3224311b147
Images\flower.jpg,gaussian_20db,Method I,0.12037393749612252,0.9927550575858559,0.012161799997556955,0.0121618,45,e34e84e60ae2a87e86cbeed8ce4db4aea6d223b74acb56e5a508a3224311b147
Images\flower.jpg,gaussian_20db,Method II,0.12132280001498622,0.9926403890982783,0.050544300000183284,0.0505443,45,e34e84e60ae2a87e86cbeed8ce4db4aea6d223b74acb56e5a508a3224311b147
Images\flower.jpg,gaussian_20db,Method III,0.09905232393336622,0.9950943185617156,0.4852325000028941,0.4852325,45,e34e84e60ae2a87e86cbeed8ce4db4aea6d223b74acb56e5a508a3224311b147
Images\flower.jpg,sp5,Sobel,0.38075209928728415,0.9275139194456203,0.009912299996358342,0.0099123,45,20e54c10d6e50baafb65c172ead50622b2e48748e7d0ebd6dd51055ac512c37b
Images\flower.jpg,sp5,Method I,0.27417250575311847,0.9624147185452022,0.012241099997481797,0.0122411,45,20e54c10d6e50baafb65c172ead50622b2e48748e7d0ebd6dd51055ac512c37b
Images\flower.jpg,sp5,Method II,0.27360240396761637,0.9625708622722357,0.05071719999978086,0.0507172,45,20e54c10d6e50baafb65c172ead50622b2e48748e7d0ebd6dd51055ac512c37b
Images\flower.jpg,sp5,Method III,0.19392796225083855,0.9811959727288901,0.1819580000010319,0.181958,45,20e54c10d6e50baafb65c172ead50622b2e48748e7d0ebd6dd51055ac512c37b
Images\flower.jpg,sp10,Sobel,0.5099952877418601,0.8699524032450205,0.009978100002626888,0.0099781,45,dafbeb3af6d5cf535eaa4d78a5375bc8c7cc2a114e50387d4e2742cca7e6e5c2
Images\flower.jpg,sp10,Method I,0.38935862505799634,0.9241999305491917,0.012353800004348159,0.0123538,45,dafbeb3af6d5cf535eaa4d78a5375bc8c7cc2a114e50387d4e2742cca7e6e5c2
Images\flower.jpg,sp10,Method II,0.3900912826059611,0.9239143956201353,0.05049850000068545,0.0504985,45,dafbeb3af6d5cf535eaa4d78a5375bc8c7cc2a114e50387d4e2742cca7e6e5c2
Images\flower.jpg,sp10,Method III,0.29930633457824996,0.9552078590418376,0.2041112000006251,0.2041112,45,dafbeb3af6d5cf535eaa4d78a5375bc8c7cc2a114e50387d4e2742cca7e6e5c2
Images\girl.png,gaussian_20db,Sobel,0.360040664389329,0.935185359994694,0.021099600002344232,0.0210996,46,d612f97660100bd2f94a0fafa244ff8c78f2a1a61f95ebcb6ba62069d82eff6c
Images\girl.png,gaussian_20db,Method I,0.17679981247726223,0.9843709131541462,0.025475699992966838,0.0254757,46,d612f97660100bd2f94a0fafa244ff8c78f2a1a61f95ebcb6ba62069d82eff6c
Images\girl.png,gaussian_20db,Method II,0.17598631174207036,0.984514409039851,0.08070549999683863,0.0807055,46,d612f97660100bd2f94a0fafa244ff8c78f2a1a61f95ebcb6ba62069d82eff6c
Images\girl.png,gaussian_20db,Method III,0.1319459660657967,0.9912951310195169,0.5185933999964618,0.5185934,46,d612f97660100bd2f94a0fafa244ff8c78f2a1a61f95ebcb6ba62069d82eff6c
Images\girl.png,sp5,Sobel,0.4923114248213658,0.8788147304989491,0.02121620000252733,0.0212162,46,140983761eb532a07342348738ff7e3284b0f2992d1fa751d225e628d0aeec61
Images\girl.png,sp5,Method I,0.43268741395914256,0.9063908009041403,0.02599200000258861,0.025992,46,140983761eb532a07342348738ff7e3284b0f2992d1fa751d225e628d0aeec61
Images\girl.png,sp5,Method II,0.43223725409116265,0.9065854780913106,0.11623340000369353,0.1162334,46,140983761eb532a07342348738ff7e3284b0f2992d1fa751d225e628d0aeec61
Images\girl.png,sp5,Method III,0.18686830527392942,0.9825401182421711,0.5957685999965179,0.5957686,46,140983761eb532a07342348738ff7e3284b0f2992d1fa751d225e628d0aeec61
Images\girl.png,sp10,Sobel,0.5760382867061763,0.8340899461320466,0.021050700001069345,0.0210507,46,b9683df8f6aa60837638e02129dd79f15687060f2dd6a5842353640fe776eced
Images\girl.png,sp10,Method I,0.5763937973829423,0.833885095178477,0.026366400001279544,0.0263664,46,b9683df8f6aa60837638e02129dd79f15687060f2dd6a5842353640fe776eced
Images\girl.png,sp10,Method II,0.5767469180639809,0.8336814962610964,0.11631699999998091,0.116317,46,b9683df8f6aa60837638e02129dd79f15687060f2dd6a5842353640fe776eced
Images\girl.png,sp10,Method III,0.3470890283491069,0.9397646032013615,0.659667799998715,0.6596678,46,b9683df8f6aa60837638e02129dd79f15687060f2dd6a5842353640fe776eced
Images\home.jpg,gaussian_20db,Sobel,0.23598817409825454,0.9721547908432137,0.0353605000054813,0.0353605,47,ee51aff4613b3325dd08e14973c9dc0e03cbceb4e0d6038eec88d5b13ea6981a
Images\home.jpg,gaussian_20db,Method I,0.15872634302333996,0.9874029740153147,0.041166299997712485,0.0411663,47,ee51aff4613b3325dd08e14973c9dc0e03cbceb4e0d6038eec88d5b13ea6981a
Images\home.jpg,gaussian_20db,Method II,0.1583580517386172,0.9874613637248706,0.15849989999696845,0.1584999,47,ee51aff4613b3325dd08e14973c9dc0e03cbceb4e0d6038eec88d5b13ea6981a
Images\home.jpg,gaussian_20db,Method III,0.142029766223031,0.9899137727533529,0.9597847999975784,0.9597848,47,ee51aff4613b3325dd08e14973c9dc0e03cbceb4e0d6038eec88d5b13ea6981a
Images\home.jpg,sp5,Sobel,0.500092180481728,0.8749539055164972,0.0353804999977001,0.0353805,47,176ee51793ae9caa2f58bd48efb124c3c4e10fe41991b716e392e8574cbd2d27
Images\home.jpg,sp5,Method I,0.45060094722036,0.8984793931862609,0.04211469999427209,0.0421147,47,176ee51793ae9caa2f58bd48efb124c3c4e10fe41991b716e392e8574cbd2d27
Images\home.jpg,sp5,Method II,0.44970600090967117,0.8988822563771164,0.1574423999991268,0.1574424,47,176ee51793ae9caa2f58bd48efb124c3c4e10fe41991b716e392e8574cbd2d27
Images\home.jpg,sp5,Method III,0.24023640657338757,0.9711432344786427,1.6067862999989302,1.6067863,47,176ee51793ae9caa2f58bd48efb124c3c4e10fe41991b716e392e8574cbd2d27
Images\home.jpg,sp10,Sobel,0.6233666131498695,0.8057070328194067,0.03547249999974156,0.0354725,47,fc308ec78e4e7d6f9da70161b3154438994f953353b7bda629b80f5875197c67
