experiment_type,noise_type,noise_level,algorithm,n,h,polynomial_order,gradient_RMSE,hog_relative_error,cosine_similarity,runtime,iterations,residual,converged,seed,source_csv
vary_n,saltpepper_10,10,correntropy,8,1,3,13.3622973089,0.565878188373,0.839890937966,21.3402417,313,47.8784255118,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_10,10,correntropy,16,1,3,3.94200888131,0.433260543099,0.906142650898,17.7345848,225,55.4069349611,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_10,10,correntropy,32,1,3,1.36796970698,0.332073919634,0.94486345595,25.2011675,246,59.3599272303,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,direct_squared,8,1,3,0,0,1,0.2215278,1,11.7998162222,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,direct_squared,8,2,3,0,0,1,0.219060399999,1,19.3643343302,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,direct_squared,8,3,3,0,0,1,0.216713599999,1,23.804116587,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,direct_squared,8,4,3,0,0,1,0.215349700004,1,27.4015161905,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,iterative_squared,8,1,3,0,0,1,0.870544899997,41,11.8034267487,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,iterative_squared,8,2,3,0,0,1,0.836019800001,41,19.3681644121,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,iterative_squared,8,3,3,0,0,1,0.796487,41,23.8084468078,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,iterative_squared,8,4,3,0,0,1,0.753157500003,41,27.4059529738,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,correntropy,8,1,3,0,0,1,9.9923975,162,11.9149734865,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,correntropy,8,2,3,0,0,1,10.9484143,195,19.7349827667,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,correntropy,8,3,3,0,0,1,11.3820374,184,24.241494993,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,no_noise,0,correntropy,8,4,3,0,0,1,13.6681134,310,27.9419442,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,direct_squared,8,1,3,13.3740331933,0.607725596246,0.815334799837,0.219936300004,1,34.091726527,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,direct_squared,8,2,3,6.45282052876,0.561683419914,0.8422558679,0.220466499995,1,36.9966466455,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,direct_squared,8,3,3,4.19048979031,0.53103854391,0.858999032445,0.215017299997,1,39.3021154294,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,direct_squared,8,4,3,3.07779339905,0.513360670021,0.868230411242,0.211868600003,1,41.3520167777,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,iterative_squared,8,1,3,12.9798143053,0.607072944338,0.81573122013,0.874850400003,41,34.0946357196,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,iterative_squared,8,2,3,6.26335986723,0.561694094653,0.84224987202,0.824058700004,41,37.0001053509,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,iterative_squared,8,3,3,4.06701765415,0.531282436282,0.858869486453,0.801097700001,41,39.3060519105,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,iterative_squared,8,4,3,2.9866313,0.51329365115,0.868264813849,0.758551699997,41,41.3561988698,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,correntropy,8,1,3,8.19615706206,0.476199223087,0.886617149967,18.0108099,344,35.1593093838,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,correntropy,8,2,3,4.3320386399,0.443093852744,0.901833918832,12.7845467,195,38.0397581418,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,correntropy,8,3,3,2.91773625029,0.423740793378,0.910221870016,11.8620924,197,40.3368059094,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_5,5,correntropy,8,4,3,2.28774732833,0.411950855573,0.915148246298,13.7060167,310,42.3982775076,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,direct_squared,8,1,3,18.8204977681,0.631611638236,0.800533369231,0.229257800005,1,46.5280882154,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,direct_squared,8,2,3,9.12309344478,0.608105846276,0.815103639871,0.221828000002,1,48.3499412798,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,direct_squared,8,3,3,5.92662868233,0.598354459843,0.820985970202,0.214830100005,1,49.9138087857,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,direct_squared,8,4,3,4.33079090306,0.593333051025,0.82397794529,0.212719499999,1,51.3635105824,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,iterative_squared,8,1,3,18.2651920543,0.631469535072,0.800623113146,0.874095499996,41,46.531379542,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,iterative_squared,8,2,3,8.85465793658,0.608521093865,0.81485103917,0.900154199997,41,48.3536554157,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,iterative_squared,8,3,3,5.75207837585,0.598891191545,0.820664670354,0.853970099997,41,49.9178986455,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,iterative_squared,8,4,3,4.20310887055,0.593737243024,0.823738043133,0.790839599998,41,51.3677930606,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,correntropy,8,1,3,13.3622973089,0.565878188373,0.839890937966,21.3402417,313,47.8784255118,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,correntropy,8,2,3,6.86035068196,0.541252122858,0.853523069755,15.6816205,278,49.6516697754,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,correntropy,8,3,3,4.5875910471,0.534081718965,0.857378358739,11.7875166,197,51.1902508817,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_h,saltpepper_10,10,correntropy,8,4,3,3.486219303,0.524280632078,0.862564909419,8.9033865,164,52.6127826778,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
