experiment,noise_scenario,noise_density,polynomial_order,n,h,algorithm,algorithm_name,gradient_RMSE,hog_error,cosine_similarity,runtime,iteration_count,final_residual,converged
n_analysis,no_noise,0.0,3,4,1,1,Direct squared loss,0.0,0.0,1.0,0.2116362000015215,1,4.482123787830534,True
n_analysis,no_noise,0.0,3,8,1,1,Direct squared loss,0.0,0.0,1.0,0.2215278000003309,1,11.799816222170795,True
n_analysis,no_noise,0.0,3,16,1,1,Direct squared loss,0.0,0.0,0.9999999999999999,0.24572189999889815,1,18.824866667108605,True
n_analysis,no_noise,0.0,3,32,1,1,Direct squared loss,0.0,0.0,1.0000000000000002,0.3001981999987038,1,26.925618988417114,True
n_analysis,no_noise,0.0,3,4,1,2,Iterative squared loss,0.0,0.0,1.0,0.6355700999993132,29,4.525814257203171,True
n_analysis,no_noise,0.0,3,8,1,2,Iterative squared loss,0.0,0.0,1.0,0.870544899997185,41,11.803426748749402,True
n_analysis,no_noise,0.0,3,16,1,2,Iterative squared loss,0.0,0.0,1.0,0.9838558999981615,39,18.82824162125388,True
n_analysis,no_noise,0.0,3,32,1,2,Iterative squared loss,0.0,0.0,1.0,1.3729458000016166,39,26.929085017324798,True
n_analysis,no_noise,0.0,3,4,1,3,Correntropy loss,0.0,0.0,1.0,0.3946544999998878,3,4.483036032084075,True
n_analysis,no_noise,0.0,3,8,1,3,Correntropy loss,0.0,0.0,1.0,9.992397499998333,162,11.91497348646358,True
n_analysis,no_noise,0.0,3,16,1,3,Correntropy loss,0.0,0.0,1.0,16.73316579999664,208,19.51207279105325,True
n_analysis,no_noise,0.0,3,32,1,3,Correntropy loss,0.0,0.0,0.9999999999999999,29.138390300002357,245,27.763270804154722,True
n_analysis,saltpepper_5,5.0,3,4,1,1,Direct squared loss,40.0643515573422,0.5427074730099757,0.8527342993684238,0.2067654000056791,1,23.67148735414516,True
n_analysis,saltpepper_5,5.0,3,8,1,1,Direct squared loss,13.374033193288373,0.6077255962457185,0.8153347998373517,0.21993630000361009,1,34.09172652698457,True
n_analysis,saltpepper_5,5.0,3,16,1,1,Direct squared loss,4.685831230966417,0.5535267266535273,0.8468040814455162,0.24478820000513224,1,39.93671425103419,True
n_analysis,saltpepper_5,5.0,3,32,1,1,Direct squared loss,1.6182044928639083,0.5562970124268266,0.8452668169893193,0.2925457000019378,1,45.23709300487437,True
n_analysis,saltpepper_5,5.0,3,4,1,2,Iterative squared loss,43.62301346377529,0.5542814983175905,0.8463860103100919,0.6342583000005106,29,23.724252797686457,True
n_analysis,saltpepper_5,5.0,3,8,1,2,Iterative squared loss,12.979814305306162,0.6070729443380671,0.8157312201298066,0.8748504000031971,41,34.09463571961241,True
n_analysis,saltpepper_5,5.0,3,16,1,2,Iterative squared loss,4.551760017984942,0.5538471662303478,0.8466266582347204,0.979924100000062,39,39.938874866983554,True
n_analysis,saltpepper_5,5.0,3,32,1,2,Iterative squared loss,1.5722645125564065,0.5566675929995741,0.8450605954588687,1.3775206999998773,39,45.23930677739631,True
n_analysis,saltpepper_5,5.0,3,4,1,3,Correntropy loss,40.06435154050787,0.5427074729151102,0.8527342994199082,0.41638699999748496,3,23.676306248434887,True
n_analysis,saltpepper_5,5.0,3,8,1,3,Correntropy loss,8.196157062060497,0.47619922308687845,0.8866171499668571,18.010809899999003,344,35.15930938377039,True
n_analysis,saltpepper_5,5.0,3,16,1,3,Correntropy loss,2.262291071656446,0.25255700247557833,0.9681074802505135,13.014753199997358,160,42.02641302835471,True
