image,image_height,image_width,seed,noise_family,noise_level,achieved_snr_db,actual_impulse_density,normalization,method,method_label,hog_cosine_similarity,hog_relative_error,common_reference_cosine,common_reference_relative_error,clean_fidelity_cosine,clean_fidelity_relative_error
Images/cameraman.png,256,256,11,saltpepper,1.0,,0.0099945068359375,L2,A_sobel_standard,A: Sobel + Standard HOG,0.8666711354766301,0.5163891256085299,0.8129132088653579,0.6116972962743028,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,1.0,,0.0099945068359375,L2,B_taylor_standard,B: Taylor + Standard HOG,0.972544722634658,0.23433001244118157,0.972544722634658,0.23433001244118157,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,1.0,,0.0099945068359375,L2,C_taylor_robust,C: Taylor + Robust HOG,0.9959842394346466,0.08961875434699276,0.9932429319288169,0.11625031674092899,0.9962253746774977,0.08688642382446306
Images/cameraman.png,256,256,11,saltpepper,1.0,,0.0099945068359375,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.8993269196073909,0.44871612494464586,0.8543260361002711,0.5397665493547538,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,1.0,,0.0099945068359375,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.9827131241651219,0.18594018304232587,0.9827131241651219,0.18594018304232587,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,1.0,,0.0099945068359375,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.9958129092541717,0.09151055399061568,0.9935906125514044,0.1132200286930197,0.9972562393500204,0.07407780571787276
Images/cameraman.png,256,256,11,saltpepper,5.0,,0.0500030517578125,L2,A_sobel_standard,A: Sobel + Standard HOG,0.802313407463383,0.6287870745119031,0.7545173163530954,0.7006892087750601,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,5.0,,0.0500030517578125,L2,B_taylor_standard,B: Taylor + Standard HOG,0.8711738501698032,0.5075946213863958,0.8711738501698032,0.5075946213863958,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,5.0,,0.0500030517578125,L2,C_taylor_robust,C: Taylor + Robust HOG,0.9525861292509199,0.30794113317022326,0.9512844555182954,0.31213953444478937,0.9962253746774977,0.08688642382446306
Images/cameraman.png,256,256,11,saltpepper,5.0,,0.0500030517578125,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.8283881975095092,0.5858528868187042,0.789097546368745,0.6494650931976178,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,5.0,,0.0500030517578125,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.906734053209234,0.43189338219584533,0.906734053209234,0.43189338219584533,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,5.0,,0.0500030517578125,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.9633033535214046,0.27091196532839246,0.961184230720356,0.27862436821008624,0.9972562393500204,0.07407780571787276
Images/cameraman.png,256,256,11,saltpepper,10.0,,0.100006103515625,L2,A_sobel_standard,A: Sobel + Standard HOG,0.7680962503750163,0.6810341395627472,0.7237816998119255,0.7432607889403029,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,10.0,,0.100006103515625,L2,B_taylor_standard,B: Taylor + Standard HOG,0.8159137792660948,0.6067721495485915,0.8159137792660948,0.6067721495485915,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,10.0,,0.100006103515625,L2,C_taylor_robust,C: Taylor + Robust HOG,0.8576338560286476,0.5336031183779862,0.8557666260755323,0.5370910051834242,0.9962253746774977,0.08688642382446306
Images/cameraman.png,256,256,11,saltpepper,10.0,,0.100006103515625,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.8057600518854185,0.6232815545565519,0.7685102892622505,0.6804259118413588,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,10.0,,0.100006103515625,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.8536408890243917,0.5410343999810422,0.8536408890243917,0.5410343999810422,1.0,0.0
Images/cameraman.png,256,256,11,saltpepper,10.0,,0.100006103515625,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.8890346930065793,0.47109512202234943,0.885670438035576,0.47818314894622244,0.9972562393500204,0.07407780571787276
Images/cameraman.png,256,256,11,gaussian,10.0,9.994355435375216,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.8468391050061966,0.5534634495498407,0.8016059533400485,0.6299111789132746,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,10.0,9.994355435375216,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.845123221556632,0.5565550798319449,0.845123221556632,0.5565550798319449,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,10.0,9.994355435375216,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.8460375608542615,0.5549097929316842,0.8437861357100767,0.5589523491138161,0.9962253746774977,0.08688642382446306
Images/cameraman.png,256,256,11,gaussian,10.0,9.994355435375216,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.8731188497136306,0.5037482511989692,0.8341713263785718,0.5758969936223773,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,10.0,9.994355435375216,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.8730825684699377,0.5038202686195388,0.8730825684699377,0.5038202686195388,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,10.0,9.994355435375216,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.8764703724551091,0.4970505558800889,0.872261615018412,0.5054470990867616,0.9972562393500204,0.07407780571787276
Images/cameraman.png,256,256,11,gaussian,20.0,19.994355435375216,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.9146956529480552,0.41304805302033626,0.8652009108724673,0.5192284451521033,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,20.0,19.994355435375216,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.9106522998614082,0.42272378721475656,0.9106522998614082,0.42272378721475656,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,20.0,19.994355435375216,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.9095751008413465,0.42526438637312536,0.9079886713045406,0.42897862113504187,0.9962253746774977,0.08688642382446306
Images/cameraman.png,256,256,11,gaussian,20.0,19.994355435375216,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.9330261261283895,0.3659887262558487,0.8905269337860447,0.46791680076174297,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,20.0,19.994355435375216,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.9300569135656723,0.3740135998484188,0.9300569135656723,0.3740135998484188,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,20.0,19.994355435375216,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.9300299797506846,0.3740856058464345,0.9278526728901076,0.3798613618455568,0.9972562393500204,0.07407780571787276
Images/cameraman.png,256,256,11,gaussian,30.0,29.994355435375212,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.9591527008417883,0.2858226693536116,0.9068658404323569,0.43158813599922974,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,30.0,29.994355435375212,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.9634603372026852,0.27033188046294243,0.9634603372026852,0.27033188046294243,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,30.0,29.994355435375212,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.96215699361098,0.27511090995822174,0.959660292918951,0.2840412191251441,0.9962253746774977,0.08688642382446306
Images/cameraman.png,256,256,11,gaussian,30.0,29.994355435375212,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.9685705663289215,0.2507167073464245,0.9237060988353432,0.39062488698479586,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,30.0,29.994355435375212,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.9710060079428745,0.24080694365956823,0.9710060079428745,0.24080694365956823,1.0,0.0
Images/cameraman.png,256,256,11,gaussian,30.0,29.994355435375212,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.9701818846553638,0.244205304384864,0.9680647045267795,0.2527263162931214,0.9972562393500204,0.07407780571787276
