experiment,method,algorithm,noise,target_snr_db,achieved_snr_db,seed,image,image_height,image_width,polynomial_order,n,h,common_pad,roi_height,roi_width,matched_clean_gradient_RMSE,hog_relative_error,cosine_similarity,runtime,runtime_trial_1,runtime_trial_2,runtime_trial_3,runtime_repeats,iteration_count,final_residual,converged,noise_sha256,hog_normalization,robust_hog,robust_weighting,robust_delta,robust_window,visualization_percentile,tol,max_iter,init_sigma,runtime_definition
gaussian_three_method_comparison,Direct squared loss,1,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,0.706531476502,0.238930206179,0.971456178288,0.234706300005,0.234430899989,0.234706300005,0.242421800009,3,1,11.9730701302,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_three_method_comparison,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,0.685746465074,0.23857618074,0.971540702992,0.960162600008,1.0405206,0.960162600008,0.95372260001,3,41,11.976652549,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_three_method_comparison,Correntropy loss,3,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,1.16926037112,0.245310366842,0.96991141196,12.6096555,12.7306795,12.5096493,12.6096555,3,184,12.1030302287,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_three_method_comparison,Direct squared loss,1,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,2.4132671985,0.352656236648,0.937816789378,0.225595299999,0.226259099989,0.225595299999,0.224131399998,3,1,13.4801028786,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_three_method_comparison,Iterative squared loss,2,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,2.34196233838,0.352323859769,0.93793394892,0.926681199999,0.883040000001,0.926681199999,0.970498099996,3,41,13.4834600444,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_three_method_comparison,Correntropy loss,3,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,3.02321871969,0.358112557538,0.935877698068,26.0978224,25.9353241,26.0978224,26.1007129,3,433,13.6751981134,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_three_method_comparison,Direct squared loss,1,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,8,1,16,224,224,8.34303013349,0.481039629556,0.884300437403,0.230803800005,0.230803800005,0.227652800007,0.232448999988,3,1,23.8346446541,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_three_method_comparison,Iterative squared loss,2,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,8,1,16,224,224,8.09703712273,0.480362494522,0.884625936934,0.926666300002,0.929250500005,0.911110699992,0.926666300002,3,41,23.8375126162,true,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_three_method_comparison,Correntropy loss,3,Gaussian SNR 10 dB,10,9.97532146562,42,Images/cameraman.png,256,256,3,8,1,16,224,224,9.36175592856,0.484530179238,0.882615252709,25.4238907,25.377728,25.4238907,26.5972103,3,500,24.218209216,false,1ecf6020e5cc133ba35921be3df5c7a5658f32fd054c826fb61b24e65506eb3a,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
