experiment,method,algorithm,noise,target_snr_db,achieved_snr_db,seed,image,image_height,image_width,polynomial_order,n,h,common_pad,roi_height,roi_width,matched_clean_gradient_RMSE,hog_relative_error,cosine_similarity,runtime,runtime_trial_1,runtime_trial_2,runtime_trial_3,runtime_repeats,iteration_count,final_residual,converged,noise_sha256,hog_normalization,robust_hog,robust_weighting,robust_delta,robust_window,visualization_percentile,tol,max_iter,init_sigma,runtime_definition
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,32,1,16,224,224,0.092679505599,0.17964705538,0.983863467747,1.4423751,1.4423751,1.456556,1.42974989999,3,39,27.0464031875,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,2,16,224,224,0.340317376094,0.234648362471,0.972470072995,0.859611599997,0.883356799997,0.859611599997,0.858553600003,3,41,19.4812422868,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,3,16,224,224,0.225402261114,0.224431870352,0.974815167785,0.835807299998,0.835807299998,0.852850200012,0.823357600006,3,41,23.9112267015,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,4,16,224,224,0.170492050487,0.211875687193,0.977554346589,0.787461100001,0.797238599989,0.7765488,0.787461100001,3,41,27.4977265484,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,4,1,16,224,224,2.02297663664,0.270436914889,0.963431937533,0.43272669999,0.431526400003,0.434183599995,0.43272669999,3,3,4.72024703497,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,1.16926037112,0.245310366842,0.96991141196,12.6096555,12.7306795,12.5096493,12.6096555,3,184,12.1030302287,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,16,1,16,224,224,0.454383291303,0.23392313355,0.972639983795,15.6587405,15.6587405,15.6449873,16.5034092,3,179,19.6315412947,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,32,1,16,224,224,0.215957674182,0.205898746415,0.978802853113,18.6595909,18.2962358,18.6595909,19.366536,3,149,27.8583154253,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,2,16,224,224,0.866514075281,0.243852449109,0.970267991532,11.4896372,11.4896372,11.3004809,11.6342499,3,194,19.8456091655,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,3,16,224,224,0.581969882822,0.236950090826,0.971927327229,11.0261733,11.0261733,11.2552798,10.7065522,3,177,24.3397666042,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
