image_size,n,h,polynomial_order,algorithm,algorithm_name,noise_scenario,seed,runtime_median,runtime_q1,runtime_q3,runtime_min,runtime_max,runtime_repeats,median_iteration_count,all_converged,common_pad
128,8,1,3,3,Correntropy loss,saltpepper_10,42,1.8749637,1.87187105,1.9949675,1.86877840001,2.1149713,3,167,true,16
192,8,1,3,3,Correntropy loss,saltpepper_10,42,6.584308,6.56985065,6.58805845,6.5553933,6.5918089,3,163,true,16
256,8,1,3,3,Correntropy loss,saltpepper_10,42,22.9983407,22.956549,22.9983513,22.9147573,22.9983619,3,313,true,16
64,16,1,3,3,Correntropy loss,saltpepper_10,42,0.205375300007,0.204391749997,0.2062773,0.203408199988,0.207179299992,3,79,true,16
128,16,1,3,3,Correntropy loss,saltpepper_10,42,3.4251733,3.42049045,3.43110975,3.4158076,3.43704619999,3,196,true,16
192,16,1,3,3,Correntropy loss,saltpepper_10,42,7.3326651,7.3136739,7.35113165,7.2946827,7.36959819999,3,164,true,16
256,16,1,3,3,Correntropy loss,saltpepper_10,42,19.4515207,19.44160015,20.15722065,19.4316796,20.8629206,3,225,true,16
64,32,1,3,3,Correntropy loss,saltpepper_10,42,0.0981930999988,0.0977005499954,0.0986487499977,0.097207999992,0.0991043999966,3,43,true,16
128,32,1,3,3,Correntropy loss,saltpepper_10,42,3.31767470001,3.3163785,3.32782940001,3.3150823,3.3379841,3,166,true,16
192,32,1,3,3,Correntropy loss,saltpepper_10,42,9.466549,9.46478285,9.48286694999,9.4630167,9.49918489999,3,184,true,16
256,32,1,3,3,Correntropy loss,saltpepper_10,42,28.0812256,28.047097,28.094121,28.0129684,28.1070164,3,246,true,16
