image_size,n,h,polynomial_order,algorithm,algorithm_name,noise_scenario,seed,repeat,runtime,iteration_count,final_residual,converged,common_pad
64,8,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.024513700002,41,51.3211246452,true,16
128,8,1,3,2,Iterative squared loss,saltpepper_10,42,1,0.171117599995,41,48.6493701687,true,16
128,8,1,3,2,Iterative squared loss,saltpepper_10,42,2,0.1646741,41,48.6493701687,true,16
128,8,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.165853999992,41,48.6493701687,true,16
192,8,1,3,2,Iterative squared loss,saltpepper_10,42,1,0.401361100012,41,46.8231901835,true,16
192,8,1,3,2,Iterative squared loss,saltpepper_10,42,2,0.439836399994,41,46.8231901835,true,16
192,8,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.395556499992,41,46.8231901835,true,16
256,8,1,3,2,Iterative squared loss,saltpepper_10,42,1,1.01136629999,41,46.531379542,true,16
256,8,1,3,2,Iterative squared loss,saltpepper_10,42,2,1.0077997,41,46.531379542,true,16
256,8,1,3,2,Iterative squared loss,saltpepper_10,42,3,1.00560819999,41,46.531379542,true,16
64,16,1,3,2,Iterative squared loss,saltpepper_10,42,1,0.0240715000109,39,61.2348397377,true,16
64,16,1,3,2,Iterative squared loss,saltpepper_10,42,2,0.0222350000113,39,61.2348397377,true,16
64,16,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.0225839999912,39,61.2348397377,true,16
128,16,1,3,2,Iterative squared loss,saltpepper_10,42,1,0.19630560001,39,56.7553593502,true,16
128,16,1,3,2,Iterative squared loss,saltpepper_10,42,2,0.1917675,39,56.7553593502,true,16
128,16,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.216994899994,39,56.7553593502,true,16
192,16,1,3,2,Iterative squared loss,saltpepper_10,42,1,0.474912999998,39,53.5083522013,true,16
192,16,1,3,2,Iterative squared loss,saltpepper_10,42,2,0.509468100005,39,53.5083522013,true,16
192,16,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.527240099997,39,53.5083522013,true,16
